,First,Last,Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,weightclass
58,Salvador,Becerra,Salvador Becerra,,"5' 9""",155 lbs.,--,,5,2,0,,#N/A
59,Ariel,Beck,Ariel Beck,,"5' 6""",125 lbs.,"66.0""",Southpaw,4,5,0,,#N/A
60,Jeff,Bedard,Jeff Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13,3,0,,#N/A
61,Eric,Bedard,Eric Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6,7,0,,#N/A
62,Johnny,Bedford,Johnny Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,21,13,1,,#N/A
63,Chase,Beebe,Chase Beebe,,"5' 7""",135 lbs.,"67.0""",Orthodox,24,13,1,,#N/A
64,Lyle,Beerbohm,Lyle Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,24,3,0,,#N/A
65,Mirsad,Bektic,Mirsad Bektic,,"5' 8""",145 lbs.,"70.0""",Orthodox,13,4,0,,Featherweights
66,Diana,Belbita,Diana Belbita,The Warrior Princess,"5' 7""",125 lbs.,"68.0""",Orthodox,13,6,0,,Women Flyweights
67,Alan,Belcher,Alan Belcher,The Talent,"6' 2""",185 lbs.,"75.0""",Orthodox,18,8,0,,#N/A
68,Vitor,Belfort,Vitor Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,26,14,0,,#N/A
69,Danilo,Belluardo,Danilo Belluardo,Caterpillar,"6' 0""",155 lbs.,"74.0""",Southpaw,12,5,0,,#N/A
70,Joey,Beltran,Joey Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,17,14,0,,#N/A
71,Marco,Beltran,Marco Beltran,Psycho,"5' 8""",125 lbs.,"69.0""",Orthodox,8,6,0,,#N/A
72,Joseph,Benavidez,Joseph Benavidez,,"5' 4""",125 lbs.,"65.0""",Southpaw,28,8,0,,#N/A
73,Mike,Bencic,Mike Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1,2,0,,#N/A
74,Dave,Beneteau,Dave Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1,,#N/A
75,Karla,Benitez,Karla Benitez,,"5' 3""",113 lbs.,--,,14,11,1,,#N/A
76,Gabriel,Benitez,Gabriel Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,22,9,0,,#N/A
77,Charles,Bennett,Charles Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30,33,2,,#N/A
78,Josh,Bennett,Josh Bennett,,"6' 4""",259 lbs.,--,Orthodox,11,14,0,,#N/A
79,DeAnna,Bennett,DeAnna Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1,,#N/A
80,Lance,Benoist,Lance Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0,,#N/A
81,Joe,Benoit,Joe Benoit,,"5' 9""",170 lbs.,--,Orthodox,11,4,0,,#N/A
82,Ryan,Benoit,Ryan Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10,7,0,,Flyweights
83,Pat,Benson,Pat Benson,,"5' 9""",155 lbs.,--,,3,5,3,,#N/A
84,Len,Bentley,Len Bentley,,"5' 9""",155 lbs.,--,,10,6,0,,#N/A
85,Steve,Berger,Steve Berger,The Red Nosed Pitbull,"5' 11""",170 lbs.,--,Orthodox,21,23,2,,#N/A
86,Kenneth,Bergh,Kenneth Bergh,,"6' 2""",205 lbs.,"74.0""",Orthodox,8,0,0,,#N/A
87,Bret,Bergmark,Bret Bergmark,The Angry Hick,"5' 9""",170 lbs.,--,,6,1,1,,#N/A
88,Keith,Berish,Keith Berish,Sha Bang Bang,"6' 0""",205 lbs.,--,Orthodox,5,1,0,,#N/A
89,Dennis,Bermudez,Dennis Bermudez,The Menace,"5' 6""",155 lbs.,"66.0""",Orthodox,17,9,0,,#N/A
90,Manny,Bermudez,Manny Bermudez,The Bermudez Triangle,"5' 10""",145 lbs.,"71.0""",Orthodox,14,2,0,,#N/A
91,Talita,Bernardo,Talita Bernardo,,"5' 4""",135 lbs.,"68.0""",Orthodox,6,4,0,,#N/A
92,Dave,Berry,Dave Berry,,--,--,--,,0,1,0,,#N/A
93,Keith,Berry,Keith Berry,,"6' 1""",185 lbs.,--,,15,14,1,,#N/A
94,Dieusel,Berto,Dieusel Berto,,"5' 9""",200 lbs.,--,,0,3,0,,#N/A
95,Edson,Berto,Edson Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,17,12,1,,#N/A
96,Allen,Berube,Allen Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,4,3,0,,#N/A
97,Anton,Berzin,Anton Berzin,The Body Snatcher,"6' 2""",205 lbs.,--,Orthodox,5,1,0,,#N/A
98,Scott,Bessac,Scott Bessac,,"6' 4""",245 lbs.,--,,4,6,0,,#N/A
99,Matt,Bessette,Matt Bessette,The Mangler,"5' 10""",145 lbs.,"70.0""",Orthodox,22,9,0,,#N/A
100,Khadzhi,Bestaev,Khadzhi Bestaev,Best,"6' 6""",185 lbs.,"76.0""",,10,4,0,,#N/A
101,Fernando,Bettega,Fernando Bettega,,--,170 lbs.,--,,7,5,0,,#N/A
102,Arjan,Bhullar,Arjan Bhullar,,"6' 1""",245 lbs.,"75.0""",Orthodox,9,1,0,,#N/A
103,KB,Bhullar,KB Bhullar,The Bengal,"6' 4""",185 lbs.,"78.0""",Switch,8,2,0,,#N/A
104,Bibulatov,Magomed,Bibulatov Magomed,Chaborz,"5' 5""",125 lbs.,"65.0""",Orthodox,14,2,0,,#N/A
105,David,Bielkheden,David Bielkheden,,"5' 10""",155 lbs.,"71.0""",Orthodox,24,12,0,,#N/A
106,Jeremiah,Billington,Jeremiah Billington,,"5' 9""",205 lbs.,--,Orthodox,11,2,0,,#N/A
107,Scott,Bills,Scott Bills,,"5' 10""",170 lbs.,--,,7,9,1,,#N/A
108,Anthony,Birchak,Anthony Birchak,El Toro,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,0,,#N/A
109,Chris,Birchler,Chris Birchler,The Big Buck,"6' 3""",205 lbs.,--,Switch,7,4,0,,#N/A
110,Michael,Bisping,Michael Bisping,The Count,"6' 1""",185 lbs.,"75.0""",Orthodox,30,9,0,,#N/A
111,Amaury,Bitetti,Amaury Bitetti,,"5' 9""",185 lbs.,--,Orthodox,5,2,0,,#N/A
112,Caio,Bittencourt,Caio Bittencourt,,"6' 0""",185 lbs.,--,,14,6,0,,#N/A
113,Simon,Biyong,Simon Biyong,,--,205 lbs.,--,,7,1,0,,#N/A
114,Jan,Blachowicz,Jan Blachowicz,,"6' 2""",205 lbs.,"78.0""",Orthodox,28,8,0,,#N/A
115,Jason,Black,Jason Black,The Black Legion,"5' 8""",155 lbs.,--,Orthodox,23,4,1,,#N/A
116,Brad,Blackburn,Brad Blackburn,Bad Brad,"5' 10""",170 lbs.,"73.0""",Orthodox,18,13,1,,#N/A
117,Jason,Blackford,Jason Blackford,,--,--,--,,3,3,0,,#N/A
118,Tom,Blackledge,Tom Blackledge,,--,205 lbs.,--,Orthodox,10,7,0,,#N/A
119,Sherrard,Blackledge,Sherrard Blackledge,The Thriller,"5' 11""",155 lbs.,"75.0""",Orthodox,5,1,0,,#N/A
120,Erin,Blanchfield,Erin Blanchfield,Cold Blooded,"5' 4""",135 lbs.,"66.0""",Orthodox,6,1,0,,#N/A
121,Maximo,Blanco,Maximo Blanco,Maxi,"5' 8""",145 lbs.,"71.0""",Orthodox,12,8,1,,#N/A
122,David,Blanco,David Blanco,,"5' 7""",145 lbs.,--,,2,0,0,,#N/A
123,Curtis,Blaydes,Curtis Blaydes,Razor,"6' 4""",265 lbs.,"80.0""",Orthodox,14,3,0,,#N/A
124,Arlene,Blencowe,Arlene Blencowe,Angerfist,"5' 5""",145 lbs.,--,,9,6,0,,#N/A
125,Byron,Bloodworth,Byron Bloodworth,,"5' 8""",135 lbs.,--,Orthodox,6,3,0,,#N/A
126,Dashawn,Boatwright,Dashawn Boatwright,"Buck, the 400-pound Silverback","6' 0""",205 lbs.,--,Orthodox,3,1,0,,#N/A
127,Dan,Bobish,Dan Bobish,,"6' 2""",345 lbs.,--,Southpaw,17,9,0,,#N/A
128,Mark,Bocek,Mark Bocek,,"5' 8""",155 lbs.,"75.0""",Orthodox,12,5,0,,#N/A
129,Kyle,Bochniak,Kyle Bochniak,Killer B,"5' 7""",145 lbs.,"70.0""",Orthodox,8,5,0,,#N/A
130,James,Bochnovic,James Bochnovic,,"6' 4""",205 lbs.,"81.0""",Orthodox,8,3,0,,#N/A
131,Jeremy,Boczulak,Jeremy Boczulak,,--,--,--,,0,2,0,,#N/A
132,Tim,Boetsch,Tim Boetsch,The Barbarian,"6' 0""",185 lbs.,"74.0""",Orthodox,21,13,0,,#N/A
133,Galore,Bofando,Galore Bofando,,"5' 11""",170 lbs.,"72.0""",Switch,5,3,0,,#N/A
134,Jay,Bogan,Jay Bogan,,--,145 lbs.,--,,6,6,0,,#N/A
135,Roman,Bogatov,Roman Bogatov,,"5' 8""",155 lbs.,"73.0""",Orthodox,10,1,0,,#N/A
136,Derek,Bohi,Derek Bohi,Marshmallow,"6' 4""",260 lbs.,--,,8,5,0,,#N/A
137,Jerry,Bohlander,Jerry Bohlander,,"5' 11""",199 lbs.,--,Orthodox,11,4,0,,#N/A
138,Mandy,Bohm,Mandy Bohm,Monster,"5' 6""",125 lbs.,--,,7,0,0,,Women Flyweights
139,Kotetsu,Boku,Kotetsu Boku,,"5' 9""",154 lbs.,--,Orthodox,25,11,2,,#N/A
140,Kyle,Bolt,Kyle Bolt,,"6' 2""",185 lbs.,--,,8,4,0,,#N/A
141,Denys,Bondar,Denys Bondar,Psycho,"5' 6""",125 lbs.,--,Orthodox,12,1,0,,Flyweights
142,Luc,Bondole,Luc Bondole,,"6' 2""",205 lbs.,--,,5,2,2,,#N/A
143,Tony,Bonello,Tony Bonello,The Gun,"6' 2""",185 lbs.,--,,16,3,1,,#N/A
144,Jesse,Bongfeldt,Jesse Bongfeldt,Water,"6' 0""",185 lbs.,--,Orthodox,16,5,1,,#N/A
145,Marcos,Bonilla,Marcos Bonilla,Murder Marx,"5' 10""",145 lbs.,--,,4,4,0,,#N/A
146,Stephan,Bonnar,Stephan Bonnar,The American Psycho,"6' 4""",205 lbs.,"79.0""",Orthodox,15,9,0,,#N/A
147,Rogerio,Bontorin,Rogerio Bontorin,,"5' 5""",125 lbs.,"67.0""",Orthodox,17,3,0,,Flyweights
148,Ray,Borg,Ray Borg,The Tazmexican Devil,"5' 4""",135 lbs.,"63.0""",Orthodox,13,5,0,,#N/A
149,Igor,Borisov,Igor Borisov,,"6' 0""",235 lbs.,--,Orthodox,1,1,0,,#N/A
150,Calen,Born,Calen Born,,"5' 8""",170 lbs.,"72.0""",Switch,7,1,0,,#N/A
151,Caio,Borralho,Caio Borralho,,"6' 1""",185 lbs.,--,,8,1,0,,#N/A
152,Tanner,Boser,Tanner Boser,The Bulldozer,"6' 2""",255 lbs.,"75.0""",Orthodox,19,7,1,,#N/A
153,Steve,Bosse,Steve Bosse,The Boss,"5' 11""",205 lbs.,"72.0""",Orthodox,12,2,0,,#N/A
154,Marcus,Bossett,Marcus Bossett,The Grasshopper,"6' 1""",215 lbs.,--,Orthodox,1,3,0,,#N/A
155,Chris,Bostick,Chris Bostick,,--,--,--,,6,3,0,,#N/A
156,Poliana,Botelho,Poliana Botelho,,"5' 8""",115 lbs.,"67.0""",Orthodox,8,4,0,,Women Flyweights
157,Francois,Botha,Francois Botha,White Buffalo,"6' 2""",260 lbs.,--,Orthodox,0,1,0,,#N/A
158,Gregory,Bouchelaghem,Gregory Bouchelaghem,,"6' 2""",183 lbs.,--,Switch,5,4,0,,#N/A
159,Roy,Boughton,Roy Boughton,Black Dynamite,"6' 0""",205 lbs.,--,,14,8,0,,#N/A
160,Rich,Bouphanouvong,Rich Bouphanouvong,,"5' 7""",170 lbs.,--,,1,4,0,,#N/A
161,Mike,Bourke,Mike Bourke,The Rhino,"6' 0""",275 lbs.,--,Orthodox,10,16,1,,#N/A
162,Jess,Bouscal,Jess Bouscal,,--,155 lbs.,--,,3,2,0,,#N/A
163,Tai,Bowden,Tai Bowden,,"5' 11""",230 lbs.,--,,1,1,0,,#N/A
164,Melton,Bowen,Melton Bowen,The Punisher,"6' 0""",225 lbs.,--,Orthodox,0,1,0,,#N/A
165,Kyron,Bowen,Kyron Bowen,Bullseye,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,,#N/A
166,Brian,Bowles,Brian Bowles,,"5' 7""",135 lbs.,"70.0""",Orthodox,10,3,0,,#N/A
167,Roger,Bowling,Roger Bowling,Relentless,"5' 9""",155 lbs.,"68.0""",Orthodox,12,6,0,,#N/A
168,Blake,Bowman,Blake Bowman,,"6' 2""",170 lbs.,--,,2,6,0,,#N/A
169,Ashe,Bowman,Ashe Bowman,The Archer,"5' 9""",155 lbs.,--,,9,11,0,,#N/A
170,Colley,Bradford,Colley Bradford,,"5' 7""",145 lbs.,--,,0,1,0,,#N/A
171,Kyle,Bradley,Kyle Bradley,,"5' 9""",155 lbs.,"71.0""",Orthodox,19,12,0,,#N/A
172,Paul,Bradley,Paul Bradley,The Gentleman,"5' 9""",170 lbs.,--,Orthodox,23,8,0,,#N/A
173,Sean,Brady,Sean Brady,,"5' 10""",170 lbs.,"72.0""",Orthodox,14,0,0,,#N/A
174,Ebenezer Fontes,Braga,Ebenezer Fontes Braga,Pitbull,"6' 0""",199 lbs.,--,Orthodox,13,7,2,,#N/A
175,Ramiz,Brahimaj,Ramiz Brahimaj,,"5' 10""",170 lbs.,"72.0""",Orthodox,8,3,0,,#N/A
176,Joe,Brammer,Joe Brammer,The South Side Strangler,"5' 8""",155 lbs.,--,Orthodox,7,3,1,,#N/A
177,David,Branch,David Branch,,"6' 1""",185 lbs.,"78.0""",Orthodox,22,6,0,,#N/A
178,Diego,Brandao,Diego Brandao,DB,"5' 7""",145 lbs.,"64.0""",Orthodox,22,11,0,,#N/A
179,Michael,Bravo,Michael Bravo,,--,155 lbs.,--,,7,4,0,,#N/A
180,Martin,Bravo,Martin Bravo,El Toro,"5' 8""",145 lbs.,"71.0""",Southpaw,11,3,0,,#N/A
181,Mike,Breeden,Mike Breeden,Money,"5' 10""",155 lbs.,"70.0""",Orthodox,8,3,0,,#N/A
182,Tom,Breese,Tom Breese,,"6' 3""",185 lbs.,"73.0""",Southpaw,12,3,0,,#N/A
183,Chris,Brennan,Chris Brennan,The Westside Strangler,"5' 8""",170 lbs.,--,Orthodox,21,13,1,,#N/A
184,Charlie,Brenneman,Charlie Brenneman,The Spaniard,"5' 10""",155 lbs.,"70.0""",Orthodox,19,8,0,,#N/A
185,Robert,Breslin,Robert Breslin,The Bullet,"5' 11""",155 lbs.,--,,3,9,0,,#N/A
186,Mack,Brewer,Mack Brewer,,--,205 lbs.,--,,0,1,0,,#N/A
187,Marcos,Brigagao,Marcos Brigagao,Ironside,"6' 3""",205 lbs.,"76.0""",Southpaw,11,1,0,,#N/A
188,Jason,Brilz,Jason Brilz,Hitman,"5' 11""",205 lbs.,"71.0""",Orthodox,22,6,1,,#N/A
189,Marcus,Brimage,Marcus Brimage,The Bama Beast,"5' 4""",135 lbs.,"71.0""",Southpaw,7,7,0,,#N/A
190,Aaron,Brink,Aaron Brink,,"6' 3""",205 lbs.,--,Orthodox,26,26,0,,#N/A
191,Henry,Briones,Henry Briones,Bure,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,1,,#N/A
192,Marcelo,Brito,Marcelo Brito,Jungle Boy,"6' 1""",170 lbs.,--,Orthodox,13,8,0,,#N/A
193,Joanderson,Brito,Joanderson Brito,Tubarao,"5' 8""",145 lbs.,--,,11,2,1,,#N/A
194,Antwain,Britt,Antwain Britt,The Juggernaut,"6' 1""",205 lbs.,"77.0""",,11,6,0,,#N/A
195,Drew,Brokenshire,Drew Brokenshire,,--,--,--,,16,6,0,,#N/A
196,Mike,Bronzoulis,Mike Bronzoulis,The Greek,"6' 0""",155 lbs.,--,,18,9,1,,#N/A
197,Jonathan,Brookins,Jonathan Brookins,,"6' 0""",145 lbs.,"74.0""",Southpaw,16,10,0,,#N/A
198,Will,Brooks,Will Brooks,Ill,"5' 10""",155 lbs.,"72.0""",Orthodox,18,4,0,,#N/A
199,Jarred,Brooks,Jarred Brooks,The Monkey God,"5' 3""",125 lbs.,"62.0""",Switch,13,2,0,,#N/A
200,Rob,Broughton,Rob Broughton,The Bear,"6' 2""",265 lbs.,"74.0""",Orthodox,16,7,1,,#N/A
201,Lee,Brousseau,Lee Brousseau,Manimal,"6' 1""",205 lbs.,--,,5,3,0,,#N/A
202,Matt,Brown,Matt Brown,The Immortal,"6' 0""",170 lbs.,"75.0""",Orthodox,24,18,0,,#N/A
203,Mike,Brown,Mike Brown,,"5' 6""",145 lbs.,"70.0""",Orthodox,26,9,0,,#N/A
204,Dominic,Brown,Dominic Brown,,"5' 11""",190 lbs.,--,,16,23,0,,#N/A
205,Todd,Brown,Todd Brown,Bulldog,"5' 11""",205 lbs.,--,Orthodox,16,4,0,,#N/A
206,Terrell,Brown,Terrell Brown,,--,185 lbs.,--,,3,1,0,,#N/A
207,Chris,Brown,Chris Brown,,--,170 lbs.,--,,10,1,0,,#N/A
208,Frederick,Brown,Frederick Brown,,"6' 0""",235 lbs.,--,,3,2,0,,#N/A
209,Randy,Brown,Randy Brown,Rudeboy,"6' 3""",170 lbs.,"78.0""",Orthodox,13,4,0,,#N/A
210,Damien,Brown,Damien Brown,Beatdown,"5' 10""",155 lbs.,"68.0""",Orthodox,17,12,0,,#N/A
211,TJ,Brown,TJ Brown,Downtown,"5' 9""",145 lbs.,"72.0""",Switch,15,8,0,,#N/A
212,Humberto,Brown Morrison,Humberto Brown Morrison,,"5' 10""",145 lbs.,--,,4,6,0,,#N/A
213,Travis,Browne,Travis Browne,Hapa,"6' 6""",255 lbs.,"79.0""",Orthodox,18,7,1,,#N/A
214,Junie,Browning,Junie Browning,,"5' 9""",155 lbs.,--,Orthodox,5,6,0,,#N/A
215,Jules,Bruchez,Jules Bruchez,,"6' 0""",205 lbs.,--,Southpaw,1,2,0,,#N/A
216,Justin,Bruckmann,Justin Bruckmann,Loaf,"5' 9""",170 lbs.,--,Orthodox,7,3,0,,#N/A
217,Cody,Brundage,Cody Brundage,,"6' 0""",205 lbs.,"72.0""",Orthodox,5,1,0,,#N/A
218,Steve,Bruno,Steve Bruno,Hollywood,"5' 10""",170 lbs.,--,Orthodox,15,6,0,,#N/A
219,Fernando,Bruno,Fernando Bruno,Acougueiro,"5' 6""",145 lbs.,--,,15,4,0,,#N/A
220,Derek,Brunson,Derek Brunson,,"6' 1""",185 lbs.,"77.0""",Southpaw,22,7,0,,#N/A
221,Josh,Bryant,Josh Bryant,The Beast,"5' 10""",185 lbs.,--,Orthodox,15,4,0,,#N/A
222,Dennis,Bryant,Dennis Bryant,The Beard,"6' 0""",205 lbs.,--,Orthodox,5,2,0,,#N/A
223,Lucas,Brzeski,Lucas Brzeski,,"6' 2""",231 lbs.,--,,8,1,1,,#N/A
224,Justin,Buchholz,Justin Buchholz,,"6' 0""",155 lbs.,"73.0""",Orthodox,15,10,0,,#N/A
225,Zak,Bucia,Zak Bucia,,"5' 10""",170 lbs.,--,,17,8,0,,#N/A
226,Courtney,Buck,Courtney Buck,,"5' 10""",135 lbs.,--,Orthodox,12,11,0,,#N/A
227,Joaquin,Buckley,Joaquin Buckley,New Mansa,"5' 10""",185 lbs.,"76.0""",Southpaw,12,4,0,,#N/A
228,Julia,Budd,Julia Budd,,"5' 7""",145 lbs.,"67.0""",,10,2,0,,#N/A
229,Mike,Budnik,Mike Budnik,,"5' 9""",145 lbs.,"68.0""",Orthodox,13,4,0,,#N/A
230,Francisco,Bueno,Francisco Bueno,,"5' 9""",225 lbs.,--,Orthodox,5,2,0,,#N/A
231,Mayra,Bueno Silva,Mayra Bueno Silva,Sheetara,"5' 6""",135 lbs.,"66.0""",Orthodox,7,1,1,,Women Flyweights
232,Paul,Buentello,Paul Buentello,The Headhunter,"6' 2""",245 lbs.,"77.0""",Orthodox,35,17,0,,#N/A
233,Modestas,Bukauskas,Modestas Bukauskas,The Baltic Gladiator,"6' 3""",205 lbs.,"78.0""",Switch,11,4,0,,#N/A
234,Lee Kwan,Bum,Lee Kwan Bum,,"6' 2""",286 lbs.,--,Orthodox,0,1,0,,#N/A
235,Josh,Bumgarner,Josh Bumgarner,,"6' 1""",170 lbs.,--,,6,4,0,,#N/A
236,Shawn,Bunch,Shawn Bunch,Bunch the Great,"5' 5""",135 lbs.,--,,7,3,0,,#N/A
237,Wuliji,Buren,Wuliji Buren,Beast Master,"5' 9""",135 lbs.,"69.0""",Orthodox,9,6,0,,#N/A
238,Shane,Burgos,Shane Burgos,Hurricane,"5' 11""",145 lbs.,"75.0""",Orthodox,13,3,0,,#N/A
239,Joshua,Burkman,Joshua Burkman,The People's Warrior,"5' 10""",170 lbs.,"72.0""",Orthodox,28,16,0,,#N/A
240,Mads,Burnell,Mads Burnell,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,3,0,,#N/A
241,Mikey,Burnett,Mikey Burnett,The Eastside Assassin,"5' 6""",170 lbs.,--,Orthodox,5,2,0,,#N/A
242,Kevin,Burns,Kevin Burns,The Fire,"5' 10""",170 lbs.,"74.0""",Orthodox,12,7,0,,#N/A
243,Gilbert,Burns,Gilbert Burns,Durinho,"5' 10""",170 lbs.,"71.0""",Orthodox,19,4,0,,#N/A
244,Josh,Burns,Josh Burns,The Hammer,"6' 1""",244 lbs.,--,,8,10,0,,#N/A
245,Herbert,Burns,Herbert Burns,The Blaze,"5' 9""",145 lbs.,"73.0""",Orthodox,11,3,0,,#N/A
246,Derrick,Burnsed,Derrick Burnsed,,--,155 lbs.,--,,1,0,3,,#N/A
247,Nah-Shon,Burrell,Nah-Shon Burrell,The Rock n Rolla,"5' 11""",170 lbs.,--,Orthodox,15,7,0,,#N/A
248,Martin,Buschkamp,Martin Buschkamp,,"5' 9""",145 lbs.,--,Orthodox,9,0,0,,#N/A
249,George,Bush,George Bush,,"6' 1""",205 lbs.,--,,5,2,0,,#N/A
250,Bubba,Bush,Bubba Bush,The Fightin' Texas Aggie,"6' 0""",185 lbs.,--,Orthodox,8,3,0,,#N/A
251,Dakota,Bush,Dakota Bush,,"5' 10""",155 lbs.,"73.0""",Orthodox,8,3,0,,#N/A
252,Murilo,Bustamante,Murilo Bustamante,,"6' 2""",183 lbs.,--,Orthodox,15,8,1,,#N/A
253,Nick,Bustamante,Nick Bustamante,,"5' 9""",170 lbs.,--,,5,3,0,,#N/A
254,Eduardo,Bustillos,Eduardo Bustillos,,"5' 8""",135 lbs.,--,,5,3,0,,#N/A
255,Jason,Butcher,Jason Butcher,,"6' 3""",185 lbs.,--,,10,2,0,,#N/A
256,Todd,Butler,Todd Butler,,"6' 1""",200 lbs.,--,Southpaw,1,4,0,,#N/A
257,Goldman,Butler,Goldman Butler,,--,--,--,,1,4,0,,#N/A
258,Ian,Butler,Ian Butler,,"5' 8""",155 lbs.,--,,3,3,0,,#N/A
259,Raphael,Butler,Raphael Butler,The Silencer,"6' 3""",261 lbs.,--,,9,2,1,,#N/A
260,JP,Buys,JP Buys,,"5' 5""",125 lbs.,"67.0""",Orthodox,9,3,0,,Flyweights
261,Cheyanne,Buys,Cheyanne Buys,,"5' 3""",115 lbs.,"63.0""",Switch,5,2,0,,Women Strawweights
262,Dennis,Buzukja,Dennis Buzukja,The Great,"5' 9""",145 lbs.,"71.0""",Switch,4,2,0,,#N/A
263,Charles,Byrd,Charles Byrd,Kid Dynamite,"5' 10""",185 lbs.,"73.0""",Orthodox,10,7,0,,#N/A
264,Steve,Byrnes,Steve Byrnes,The Sergeant,"6' 0""",170 lbs.,--,Orthodox,6,1,0,,#N/A
265,Michael,Byrnes,Michael Byrnes,,"5' 11""",155 lbs.,--,,5,3,0,,#N/A
0,,, ,,,,,,,,,,#N/A
1,Yan,Cabral,Yan Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,,#N/A
2,Alvin,Cacdac,Alvin Cacdac,,"5' 6""",125 lbs.,--,Orthodox,18,13,0,,#N/A
3,Alex,Caceres,Alex Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73.0""",Southpaw,18,12,0,,#N/A
4,Vince,Cachero,Vince Cachero,The Anomaly,"5' 6""",145 lbs.,"68.0""",Orthodox,7,4,0,,#N/A
5,Priscila,Cachoeira,Priscila Cachoeira,Zombie Girl,"5' 7""",135 lbs.,"65.0""",Orthodox,10,3,0,,Women Flyweights
6,Travis,Calanoc,Travis Calanoc,The Dark Knight,"5' 8""",145 lbs.,--,Orthodox,5,1,0,,#N/A
7,Ricky,Calatayud,Ricky Calatayud,,"5' 9""",125 lbs.,--,,16,2,0,,#N/A
8,Joanne,Calderwood,Joanne Calderwood,JoJo,"5' 6""",125 lbs.,"65.0""",Orthodox,15,5,0,,Women Flyweights
9,Darrion,Caldwell,Darrion Caldwell,The Wolf,"5' 10""",135 lbs.,--,,10,1,0,,#N/A
10,Taylor,Callens,Taylor Callens,,"5' 10""",155 lbs.,--,,6,0,0,,#N/A
11,Cynthia,Calvillo,Cynthia Calvillo,,"5' 4""",125 lbs.,"64.0""",Orthodox,9,2,1,,Women Flyweights
12,Joe,Camacho,Joe Camacho,,"5' 9""",155 lbs.,--,Orthodox,13,19,3,,#N/A
13,Frank,Camacho,Frank Camacho,The Crank,"5' 10""",170 lbs.,"73.0""",Orthodox,22,9,0,,#N/A
14,Fabricio,Camoes,Fabricio Camoes,Morango,"5' 10""",155 lbs.,"71.0""",Orthodox,14,9,1,,#N/A
15,Chris,Camozzi,Chris Camozzi,,"6' 2""",185 lbs.,"75.0""",Orthodox,24,13,0,,#N/A
16,Brian,Camozzi,Brian Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5,0,,#N/A
17,Mike,Campbell,Mike Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,13,4,0,,#N/A
18,Thomas,Campbell,Thomas Campbell,,--,--,--,,3,3,0,,#N/A
19,Shane,Campbell,Shane Campbell,Shaolin,"6' 0""",155 lbs.,"71.0""",Orthodox,14,6,0,,#N/A
20,John,Campetella,John Campetella,,"5' 9""",235 lbs.,--,Orthodox,0,1,0,,#N/A
21,Wagner,Campos,Wagner Campos,Galeto,"5' 6""",145 lbs.,--,Southpaw,12,10,0,,#N/A
22,Derek,Campos,Derek Campos,The Stallion,"5' 9""",155 lbs.,--,,19,6,0,,#N/A
23,Will,Campuzano,Will Campuzano,,"5' 9""",125 lbs.,"70.0""",Orthodox,14,6,0,,#N/A
24,Aleksa,Camur,Aleksa Camur,,"6' 1""",205 lbs.,"74.0""",Orthodox,6,1,0,,#N/A
25,Chico,Camus,Chico Camus,The King,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0,,#N/A
26,Asbel,Cancio,Asbel Cancio,,"5' 10""",225 lbs.,--,,0,1,0,,#N/A
27,Carlos,Candelario,Carlos Candelario,The Cannon,"5' 8""",125 lbs.,"67.0""",Southpaw,6,0,0,,#N/A
28,Ronaldo,Candido,Ronaldo Candido,Pacman,"5' 6""",125 lbs.,--,Southpaw,6,0,0,,#N/A
29,Luiz,Cane,Luiz Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,17,7,0,,#N/A
30,Guido,Cannetti,Guido Cannetti,Ninja,"5' 6""",135 lbs.,"68.0""",Southpaw,8,6,0,,#N/A
31,Jared,Cannonier,Jared Cannonier,The Killa Gorilla,"5' 11""",185 lbs.,"77.0""",Switch,13,5,0,,#N/A
